"Name","Comment","DriverName","Location","PortName"
"MCOPG-LAB-P727","Created by Andy B. 5/7/2012 (Xerox WorkCentre 4150)","Xerox GPD PCL6 V3.6.433.6.0.0","OP-G  LAB IT AREA","172.30.50.150"
"MCOP4-DIG-ARCHIVE","","Xerox Global Print Driver PCL6","OP 4","172.20.28.151"
"MCOPG-RADONC-P8C2","","Xerox Global Print Driver PCL6","OPG Radiation Oncology","172.20.20.155"
"MCOPG-RADONC-CLIN2","MCOPG-RADONC-CLIN2","Xerox Global Print Driver PCL6","OPG - RAD ONC - NURSE CLINIC AREA 2","172.30.0.115"
"NGPG-DALII-B","NGPG Dahlonega II   - mwdetraz 11/29/2012","HP LaserJet 400 M401 PCL 6","NGPG Dahlonega II","172.19.88.153"
"MCWB4-THC-ACCT-A","CREATED BY BOBBY WOODY 7/8/14","HP Universal Printing PCL 6","WISTERIA-4 ACCT AREA","172.30.60.169"
"MCOP4-CTH-F-P717","Created by Andy B. 4/30/12","Xerox Global Print Driver PCL6","Cardiology Case Manager","172.20.28.162"
"MCOP4-CTH-READRM1","Created by Andy B. (HP LaserJet 4000 Series)","HP Universal Printing PCL 6 (v5.4)","Cardiology Reading Room 1","172.20.28.144"
"MCOP4-CTH-INVMGR-P716","Created by Andy B. 4/30/12","HP Universal Printing PCL 6","Cardiology Inventory Manager","172.20.28.161"
"MCOPG-RADONC-THER","","HP LJ300-400 color M351-M451 PCL 6","","172.30.0.110"
"MCS1C-LDCEDU","Setup on 7/27/2016","HP LaserJet 400 M401 PCL 6","S1C-L&D CLINICAL EDUCATOR OFFICE","172.25.26.150"
"MCS1B-ONM-NUR-P81B","","Xerox GPD PCL6 V3.6.433.6.0.0","","172.25.16.104"
"MCS1C-LDR-F","Created by Alex on 02/28/2012","Dell 3130cn Color Laser PS","S1C - Admin Assistant's office","172.25.26.43"
"MCS1C-LDR-B-P824","Created by Alex on 02/13/2012","Xerox Global Print Driver PCL6","S1C Antepartum Nurses Station","172.25.27.115"
"THC-BLRVL-FDESK2","","HP Universal Printing PCL 6","Blairsville Cardiology","172.17.80.155"
"MCS1B-NUR-SUPR","","Xerox Global Print Driver PCL6","","172.25.18.163"
"MCS1B-DR-DICT","Created by Alex on 09/27/2012","HP LaserJet 400 M401 PCL 6","S1B Doctor's Dictation Area","172.25.16.153"
"NGPG-UC-RP-CHKIN","Created by Andy B. - 7/18/2012","HP Universal Printing PCL 6","RiverPlace urgent Care Check In","172.26.11.211"
"MCS1B-ONM-CASE-P733","","Xerox Global Print Driver PCL6","","172.25.20.153"
"MCN5G-ACU-E-P978","Created by Patrick - Desktop Support","Xerox AltaLink C8055 PCL6","N5G - Admin. Offices","172.23.150.155"
"MCN5G-ACU-D-P977","Updated by Patrick - 3/2/2012","HP Universal Printing PCL 6","N5G - Dr.'s Dictation Work Room","172.23.150.154"
"MCN6G-BAR-C-P97B","CREATED 2-22-12 BY BOBBY WOODY","Xerox GPD PCL6 V3.9.520.6.0","N6G CASE MANAGEMENT OFFICE","172.23.160.153"
"MCN6G-BAR-B-P97A","CREATED 2-22-12 BY BOBBY WOODY","Xerox GPD PCL6 V3.9.520.6.0","N6G ADMIN AREA","172.23.160.152"
"MCN5G-ACU-B-P975","A Xerox 4150 - Prints, emails, faxes, and copies.","Xerox GPD PCL6 V3.6.433.6.0.0","N5G - Case Mgmt. Office","172.23.150.152"
"MCN4G-ONS-F-COLOR","Created 1/14/2012 - P.G.","HP Universal Printing PCL 6","N4G Unit Mgr. Office","172.23.140.156"
"MCN4G-ONS-E-P973","Installed GRLEWIS - 9/6","Xerox GPD PCL6 V3.9.520.6.0","","172.23.140.155_1"
"NGPG-MP12-URO-Ex-O","HP","HP Universal Printing PCL 6","MP1 200 URO","172.19.72.154"
"MCN5G-ACU-A-P974","Created by Dave","Xerox GPD PCL6 V3.9.520.6.0","North Tower 5th floor ACU A area","172.23.150.151"
"MCN6G-BAR-D-P97C","CREATED 2-22-12 BY BOBBY WOODY","HP Universal Printing PCL 6","N6G DR DICTATION","172.23.160.154"
"MCNGG-IT-CMDCTR","CREATED BY BOBBY WOODY 4-3-13","HP Universal Printing PCL 6","NGG IT COMMAND CENTER","172.23.100.150"
"MCNGG-CRP-A","Ground Floor Suite 700","Xerox Global Print Driver PCL6","N.G755.071","172.23.106.91"
"MCNGG-SPD-A-P97D33","CREATED BY BOBBY WOODY 4-23-12","Xerox WorkCentre 4100/4200 Series Class Driver","NGG SPD AREA","172.23.100.151"
"MCNGG-SPD-A-P97D","","Xerox PCL6 Class Driver","SPD NORTH GROUND","172.23.100.151_1"
"MCNGG-COM-A","CREATED BY BOBBY WOODY 11/17/15","Xerox WorkCentre 7855 PCL6","MCNGG OLD PURCHASING COMMON AREA","172.23.102.150"
"NGPG-MP12-URO-Ex-N","HP","HP Universal Printing PCL 6","MP1 200 URO","172.19.72.153"
"MCOP4-CTH-CATHLAB3","Created by Andy B.","HP Universal Printing PCL 6","Cardiology - Cath Lab 3","172.20.28.143"
"MCN6G-PHARM","In the Pharmacy Care Room","Xerox GPD PCL6 V3.9.520.6.0","N6G","172.23.160.10"
"MCN6G-BAR-E-P983","NURSE WORK ROOM","HP Universal Printing PCL 6","N6G ","172.23.160.155"
"MCN3G-ICU-A-P966","This is a Xerox WorkCentre 4150 - Printer, Fax, Copier, and emails.","Xerox GPD PCL6 V3.9.520.6.0","N3G-ICU-POD B","172.23.130.151"
"MCN2G-SUR-L","Created by BAC 3-8-12","Xerox GPD PCL6 V3.6.433.6.0.0","OR Pharmacy","172.23.122.159"
"MCN3G-ICU-C-P968","A Xerox 4150 WorkCentre - Print, Fax, Copy and emails.","Xerox GPD PCL6 V3.9.520.6.0","N3G - ICU - POD A","172.23.130.153"
"MCN3G-ICU-B-P967","This is a Xerox 4150 WorkCentre - prints, faxes, emails, and copies.","Xerox GPD PCL6 V3.9.520.6.0","N3G-ICU POD C","172.23.130.152"
"MCN2G-SUR-J-P984","","HP Universal Printing PCL 6","N2G Anesth fishbowl","172.23.122.155"
"MCN2G-SUR-D-P95B","bac","Xerox GPD PCL6 V3.9.520.6.0","NPT2 Sugery","172.23.122.152"
"MCN2G-SUR-C-P95A","bac","Xerox Global Print Driver PCL6","NPT2 Sugery","172.23.121.210"
"MCN2G-SUR-F-P95D","bac (HP LaserJet 4050 Series )","HP Universal Printing PCL 6","NPT2 Sugery","172.23.122.154"
"MCN2G-SUR-E-P95C","bac","Xerox AltaLink C8055 PCL6","NPT2 Sugery","172.23.122.153"
"MCN3G-ICU-D-P969","A Xerox 4150 WorkCentre - prints, faxes, copies, and emails.","Xerox GPD PCL6 V3.9.520.6.0","N3G - ICU Administration Offices","172.23.130.154"
"MCN4G-ONS-B-P970","This is a Xerox 5632 - prints, faxes, emails and copies.","Xerox GPD PCL6 V3.6.433.6.0.0","N4G - Outside of Mgr office","172.23.140.152"
"MCN4G-ONS-A-P96F","A HP LJ 2300 printer with a JetDirect,  prints only.  This printer is located outside of Rooms 4717 & 18.","HP Universal Printing PCL 6","N4G - Nurse/Tech Work Room","172.23.140.151"
"MCN4G-ONS-D-P972","Created By Dave","HP Universal Printing PCL 6","N4G - Dr.'s Dictation Work Area","172.23.140.154"
"MCN4G-ONS-C-P971","A Xerox 4150 WorkCentre - Prints, Faxes, Emails, and Copies.","Xerox GPD PCL6 V3.9.520.6.0","N4G - CASE MGMT. OFFICE","172.23.140.153"
"MCN3G-ICU-H-P96D","Used for labels only in the ICU Pharmacy area.","ZDesigner ZM400 200 dpi (ZPL)","N3G - ICU Satellite Pharmacy","172.23.130.158"
"NGPG-CLEV-F","NGPG CLEVELAND","Xerox GPD PCL6 V3.6.433.6.0.0","NGPG CLEVELAND","172.19.34.174"
"MCN3G-ICU-E-P96A","A Xerox 4150 WorkCentre that prints, faxes, emails and copies.","Xerox GPD PCL6 V3.9.520.6.0","N3G - ICU  CASE MGMT. OFFICE","172.23.130.155"
"MCN3G-ICU-G-P96C","A Xerox WorkCentre 4150 - Prints, faxes, copies and emails.","Xerox GPD PCL6 V3.9.520.6.0","N3G - ICU Satellite Pharmacy","172.23.130.157"
"MCN3G-ICU-F-P96B","A Xerox 4150 WorkCentre - prints, faxes, copies and emails.","Xerox GPD PCL6 V3.9.520.6.0","N3G-ICU POD D","172.23.130.156"
"NGPG-MP12-OB-G","HP","HP Universal Printing PCL 6","MP1 200 OB","172.19.72.125"
"MCOP1-CRP-T","Created by Danny R. 6-24-16","HP Color LaserJet Pro M452 PCL 6","ADM CNO Office","172.20.22.154"
"NGPG-MP12-OB-I","HP","HP Universal Printing PCL 6","MP1 200 OB","172.19.72.127"
"MCOP1-CRP-U","CREATED BY DEDALMEI","HP Universal Printing PCL 6","OP1 ADMINISTRATION - WENDY WILSON","172.30.11.121"
"NGPG-MP12-OB-F","HP","HP Universal Printing PCL 6","MP1 200 OB","172.19.72.124"
"NGPG-MP12-OB-C","HP COLOR","HP Color LaserJet Pro M452 PCL 6","MP1 200 OB","172.19.72.121"
"MCOP1-CRP-P","","HP LaserJet 400 M401 PCL 6","","172.20.22.166"
"MCOP1-CRP-R","Re-created 09-29-16 DANNY R.","HP LaserJet Pro M402-M403 PCL 6","Office VP Strategic Planning/Marketing","172.20.22.152_1"
"MCOP1-CRP-Q","Printer created by Jess Kendrick, 4/29/2015","HP LaserJet 400 M401 PCL 6","OP building 1st Floor Corporate, Admin Assistant for NGPG President","172.20.22.168"
"MCOP1-CRP-W","Tad Gomez Office - Created 1-30-17 - DANNY R","HP LaserJet Pro M402-M403 PCL 6","OP1 Corporate Administration","172.30.10.150"
"MCOP2-BBK-XWC-415","","Xerox Global Print Driver PCL6","","172.20.24.162"
"MCOP1-SJO-P918","Created By Andy B.","HP Universal Printing PCL 6","OP-1 Sam Jones Nurse Station 2","172.20.22.174"
"MCOP2-CS-XWC","","Xerox Global Print Driver PCL6","","172.20.24.215"
"MCOP2-CS-450","","HP Universal Printing PCL 6","","172.30.21.90"
"MCOP1-SJO-E-P91A","Created by Andy B.","HP Universal Printing PCL 6","OP-1 Sam Jones Office (Exam Room 5)","172.20.22.176"
"MCOP1-SJO-B-P917","Created by Andy B.","HP Universal Printing PCL 6","OP-1 Receptionist Desk","172.20.22.171"
"MCOP1-SJO-A-P916","","Xerox GPD PCL6 V3.6.433.6.0.0","OP1","172.20.22.170"
"MCS1E-CENTSCHED-C","","Dell 2150cn Color Printer PCL6","","172.25.24.102"
"MCOP1-SJO-D-P919","Created by Andy B.","HP Universal Printing PCL 6","OP-1 Sam Jones Break Room","172.20.22.175"
"MCOP1-CRP-A","Created by Andy B. - 6/6/2012","Xerox AltaLink C8055 PCL6","Corporate Work Room 1","172.20.22.151"
"MCNGG-SPD-LBL-02","CREATED BY BOBBY WOODY 4-23-12","ZDesigner 105SL 300DPI","NGG SPD SURGICAL SUPPLY AREA","172.23.100.153"
"MCOP1-CRP-D-P818","Created by Andy B.  4/24/20112","HP Universal Printing PCL 6","Corporate","172.20.22.157"
"MCOP1-CRP-C","","Xerox AltaLink C8055 PCL6","","172.20.22.150"
"MCNGG-SPD-LBL-01","CREATED BY BOBBY WOODY 4-23-12","ZDesigner 105SL 300DPI","NGG SPD AREA","172.23.102.158"
"MCNGG-SPD-D-P980","CREATED BY BOBBY WOODY 4-23-12","HP Universal Printing PCL 6","NGG SPD AREA","172.23.102.154"
"MCNGG-SPD-C-P97F","CREATED BY BOBBY WOODY 4-23-12","HP Universal Printing PCL 6","NGG SPD AREA","172.23.102.153"
"MCNGG-SPD-F-P982","CREATED BY BOBBY WOODY 4-23-12","HP Universal Printing PCL 6","NGG SPD AREA","172.23.102.156"
"MCOP2-CS-205","HP LJ 9040 (hp LaserJet 9040)","HP Universal Printing PCL 6","OutPatient Building (OPB), 2nd floor, Lab, Customer Service Dept","172.20.24.157"
"MCOP1-CRP-E-P808","Created by Andy B.  4/24/2012","HP Universal Printing PCL 6","Corporate","172.20.22.159"
"MCOP1-CRP-N","created 3/11/14 RB","HP Universal Printing PCL 6","CRP front desk","172.30.10.168"
"MCOPG-DOS-COLOR","CREATED BY BOBBY WOODY 7-11-12","HP Universal Printing PCL 6","OP1 DOSIMETRY AREA COLOR PRINTER","172.20.20.181"
"MCOP1-CRP-O","created 3/11/14 RB","HP Universal Printing PCL 6","Vicky Curtis' office","172.20.22.178"
"NGPG-MP12-OB-A","Xerox","Xerox GPD PCL6 V3.6.433.6.0.0","MP1 200 OB","172.19.72.119"
"MCOP1-CRP-M","Created by FMP 3/6/13","HP Universal Printing PCL 6","OP1 Corp","172.20.22.160"
"MCOP1-CRP-I","Created by Andy B.  4/24/2012","HP LJ300-400 color M351-M451 PCL 6","Corporate","172.20.22.156"
"MCOP1-CRP-H","Createdby Andy B.  4/24/2012 (HP LaserJet 2100 Series)","HP Universal Printing PCL 6","Corporate","172.20.22.167"
"MCOP1-CRP-L","Created by Andy B. 4/24/2012 (HP LaserJet 2100 Series)","HP Universal Printing PCL 6","Corporate","172.20.22.187"
"MCOP1-CRP-K","CREATED BY DEDALMEI","HP Universal Printing PCL 6","OP1 ADMINISTARTION - VP OFFICE","172.20.22.74"
"JJM11-RAD-A","CREATED BY BOBBY WOODY 3-8-12","HP Universal Printing PCL 6","GIC FRONT DESK","172.19.48.180"
"ED-Area D-P929","Nurse Station","HP Universal Printing PCL 6","ED Area D","172.25.22.155"
"105SJNHP003","Sam Jones nurse station","HP Universal Printing PCL 6","OP bldg 1st floor BCA","172.20.22.169"
"MCOP3-CRD-HFSUP-P8E9","Created by Andy B.","HP Universal Printing PCL 6","Cardiology - Heart Failure Supervisor Off","172.20.26.166"
"105STSHP503","Created: 3/8/2018","HP Universal Printing PCL 6","OP3 ECHO NUCLEAR SUPERVISOR OFFICE","172.20.26.148"
"105SJNHP002","Recption Area Out Patient Bldg 1st floor","HP Universal Printing PCL 6","OP bldg 1st floor Receptionist","172.20.22.164"
"105LABHP007","","HP Universal Printing PCL 6","","172.30.20.201_1"
"105CRDHP001","CREATED BY DEDALMEI","HP Universal Printing PCL 6","4TH FLOOR opt","172.20.29.101"
"105SJNHP001","Sam Jones Nurse Staion","HP Universal Printing PCL 6","OP Bldg 1st Floor Sam Jones","172.20.22.163"
"MCN2G-SUR-H-P963","Installed 8/18/16","HP Color LaserJet 2605 PCL6 Class Driver","2723-001","172.23.120.154"
"107DRCHP500","Created by GRLEWIS","HP LaserJet CP 1025nw","Dr.Chuili","172.22.11.180"
"107LTCHP100","LTC Lanier Park Dietitian","HP Universal Printing PCL 6","LTC Lanier Park Dietitian","172.22.20.158"
"107LTCHP010","LTC Rehab Manager, Christopher Brechtel","HP Color LaserJet Pro M252 PCL 6","Lanier Park Campus, New Horizon","172.22.21.251"
"108FOUHP001","CCLANGMA - 10/25/2018","HP Color LaserJet Pro M252 PCL 6","Limestone Foundation","172.19.132.97"
"107REHHP001","created by dedalmei","HP Universal Printing PCL 6","Lanier Campus Rehab","172.22.20.154_1"
"107LTCHP002","created by dedalmei","HP Universal Printing PCL 6","Long Term Care","172.22.20.208"
"107ITSXR500","XEROX","Xerox GPD PCL6 V3.6.433.6.0.0","Lanier Learning CTR - Moulage","10.74.216.160"
"107ITSHP001","HP 402n - Martha's printer","HP Universal Printing PCL 6 (v5.4)","Lanier Learning Lab - Lobby/Reception","10.74.216.162"
"107LTCHP001","created by dedalmei","HP Universal Printing PCL 6","Long Term Care","172.22.20.207"
"107ITSXR501","XEROX Altalink C8055 - Workroom","Xerox AltaLink C8055 PCL6","Lanier Learning CTR","10.74.216.161"
"NGPG-MP12-Lab","","HP Universal Printing PCL 6","MP1 200 Lab","172.19.72.178"
"102S3EXR505","","Xerox GPD PCL6 V3.9.520.6.0","S3E Case Management Xerox","172.25.50.87"
"102S4EHP001","Created by AQZephir 6/20/2017","HP Universal Printing PCL 6","S4E Nurse Station BCA Downtime Printer","172.25.68.153"
"102S4DHP001","Created by cayarbro 6/20/2017","HP Universal Printing PCL 6","S4D nurse station downtime BCA printer","172.25.66.155"
"102S3EHP101","Created by cayarbro","HP Universal Printing PCL 6","S3D Nurse station BCA downtime","172.25.52.152"
"NGPG-UC-GAIN-P82B","mwdetraz  5/3/2012","HP Universal Printing PCL 6","Gainesville Urgent Care","172.19.2.163"
"202IMCHP990","JASCOGGI 6/15/17","HP Universal Printing PCL 6","Dawsonville Imaging Center","172.17.73.220"
"ACCT-XEROX-P8B5","CREATED BY BOBBY WOODY 3-8-12","Xerox AltaLink C8055 PCL6","1480 ACCOUNTING AREA","172.19.56.202"
"102S3EHP004","CCLANGMA - 9/21/2018","HP LaserJet 200 color M251 PCL 6","S3E Charge Nurse Office","172.25.50.112"
"102S4EHP002","CCLANGMA - 7/25/2018","HP Color LaserJet Pro M252 PCL 6","S4E Unit Manager Office","172.25.68.155"
"105ADMHP001","172.20.22.17","HP Universal Printing PCL 6","ADMINISTRATION","172.20.22.17"
"LPAT1-HSP-A","CREATED BY BOBBY WOODY 8-15-12","Xerox GPD PCL6 V3.8.496.7.0","LPC ATRIUM-1 HOSPICE XEROX","172.22.10.151"
"105ADMHP502","This is for John Turner","HP Color LaserJet Pro M252 PCL 6","Out Patient Building 1st floor Aministration","172.20.22.5"
"105ADMHP500","This is for the Chief Finacial Officer","HP Universal Printing PCL 6","OP1 Aministration ","172.20.22.62"
"102TRAXR500","CCLANGMA - 8/14/2018","Xerox Global Print Driver PCL6","TACS Admin area Ground Floor SPT","172.25.1.128"
"102S5EHP001","Created by AQZephir 5/26/2017","HP Universal Printing PCL 6","S5E Nurse Station Next to BCA machine","172.25.82.155"
"LWOOD_FD_P88D","CREATED BY BOBBY WOODY 4-11-12","Xerox Global Print Driver PCL6","LAURELWOOD FRONT DESK","172.20.18.173"
"102TRAXR001","6/7/17 - APC","Xerox GPD PCL6 V3.6.433.6.0.0","SGG - Trauma","172.25.0.103_1"
"102TRAHP001","CCLANGMA - 6/21/2018","HP Universal Printing PCL 6","Tacs Admin SPT Ground Floor","172.25.1.127"
"170THCHP002","Created by AQZephir 8/18/2017","HP Universal Printing PCL 6","Managers Office","10.64.56.118"
"170THCHP001","Created by AQZephir 8/18/2017","HP Universal Printing PCL 6","Nurse's aea","10.64.56.240"
"201SURHP019","Diane Leveroni's Office","HP LaserJet 200 color M251 PCL6 Class Driver","GVS Surgical Associates","172.25.100.211"
"170THCHP003","Created by AQZephir 8/18/2017","HP Universal Printing PCL 6","Main Registration Area","10.64.56.229"
"MCS1E-ED-RAD-P8B8","HP LJ 4000 (HP LaserJet 4000 Series)","HP LaserJet 400 M401 PCL 6","ED Radiology area","172.25.22.166"
"1480-PAYROLL-P85A","CREATED BY BOBBY WOODY 4-23-12","Xerox GPD PCL6 V3.9.520.6.0","1480-G PAYROLL AREA","172.19.56.212"
"1480-PAYROLL-DIRECTOR-P832","CREATED BY BOBBY WOODY ON 3-18-12","HP Universal Printing PCL 6","1480 PAYROLL DIRECTOR OFFICE","172.19.56.210"
"1480-PLANNING-XEROX","CREATED BY BOBBY WOODY 3-8-12","Xerox AltaLink C8055 PCL6","1480 PLANNING AREA","172.19.56.206"
"MCS1D-RAD-CT-P877","BAC","Xerox GPD PCL6 V3.6.433.6.0.0","","172.25.24.152"
"201SURHP020","Created by DANNY R 4/20/18","HP Universal Printing PCL 6","Surgical Assc. Gainesville","172.25.100.7"
"207IMGXR500","CCLANGMA - 3/5/2019","Xerox Global Print Driver PCL6","Imaging Center Nurse Station","172.19.48.190_1"
"NGPG-DAC-D","created 12/5/14 jasewell","HP Universal Printing PCL 6","NGPG Dacula","10.64.168.153"
"SA-EMPLOYEE-WELLNESS","","Xerox GPD PCL6 V3.9.520.6.0","","172.25.100.161"
"LPLM1-HSP-C","CREATED BY BOBBY WOODY 2-29-2012","HP Universal Printing PCL 6","LIMESTONE HOSPICE LIBRARY","172.19.132.152"
"207IMGHP501","CCLANGMA - 3/5/2019","HP Universal Printing PCL 6","Michelle Eckenroth Office Imaging Center","172.19.48.153"
"201SURHP503","Suite A\Upstairs","HP Universal Printing PCL 6","Surgical Associates Gainesville","172.25.100.162"
"MCNGG-SPD-G","CREATED BY BOBBY WOODY 4-23-12","HP Universal Printing PCL 6","NGG SPD AREA","172.23.100.152"
"207IMGHP002","MED PARK 1 - HP 402n in MAMMO AREA","HP Universal Printing PCL 6","GAINESVILLE IMG CTR","172.19.49.100"
"204OCRHP001","OR5 Office","HP LaserJet Pro M402-M403 PCL 6","1285 Sims St ","172.19.68.173"
"MCOP1-CRP-S","S. Kelly's Office -- Added 06/01/16 DANNY R.","HP LaserJet 400 M401 PCL 6","OP1 - Administration","172.20.22.153"
"112BRWHP500","","HP Color LaserJet Pro M452 PCL 6","Suite 310 Brandi's office","10.71.192.57"
"112HRDKM001","Added to WINPRN for access to administrative rights","Xerox AltaLink C8055 PCL6","Human Resources Printer","10.71.185.200"
"NGPG-MP12-OB-E","HP","HP Universal Printing PCL 6","MP1 200 OB","172.19.72.123"
"112ADMKM001","Added to WINPRN for access to specific drivers for Barrow Admin USE.","Xerox AltaLink C8055 PCL6","ADMIN - ROBIN","10.71.185.202"
"109NHNXR515","Located inside Bridget Vig's office --MRS 2019-03-06","Xerox GPD PCL6 V3.9.520.6.0","New Horizon Limestone, Unit 1, Admissions Coordinator","109NHNXR015"
"108HSPHP001","HP Color LaserJet Pro M254dw","HP Universal Printing PCL 6","Hopice Admin, Rm 235","172.19.132.98"
"111LABHP002","","HP Universal Printing PCL 6 (v5.4)","","172.26.179.87"
"MCNGG-SPD-E-P981","CREATED BY BOBBY WOODY 4-23-12","HP Universal Printing PCL 6","NGG SPD AREA","172.23.102.155"
"112RBLKM001","Main Printer","Xerox AltaLink C8055 PCL6","Quality Control - Barrow","10.71.185.201"
"1480-CHECK1","CREATED BY BOBBY WOODY ON 3-18-12 (HP LaserJet 8000 Series)","HP Universal Printing PCL 6","1480 PAYROLL VAULT","172.19.56.213"
"JJNH1-PLN-A","CREATED BY BOBBY WOODY 3-8-12

(Changed driver from 9202 PS to Xerox Global PCL6 to fix issue with collating staples SDE 421486 as recommended by Xerox)-RPM 3/5/2014","Xerox AltaLink C8055 PCL6","1480 PLANNING AREA","172.19.56.205"
"1480-PAYROLL","CREATED BY BOBBY WOODY ON 3-18-12","HP Universal Printing PCL 6","1480 PAYROLL AREA","172.19.56.211"
"1480-CHECK2","CREATED BY BOBBY WOODY ON 3-18-12 (HP LaserJet 8000 Series)","HP Universal Printing PCL 6","1480 PAYROLL VAULT","172.19.56.214"
"1480-AP-XEROX-P7C5","CREATED BY BOBBY WOODY ON 3-18-12","Xerox GPD PCL6 V3.9.520.6.0","1480 AP AREA","172.19.56.215"
"1405-EPIC-PRINTER-4","Linda Petty's desk","HP Universal Printing PCL 6","Red Section","172.20.70.162"
"1405-EPIC-PRINTER-1","","HP LaserJet Pro M402-M403 PCL 6","1405 Mailroom","172.20.70.106"
"1405-FN-NGPG-Printer","HP LJ M401","HP LaserJet 400 M401 PCL 6","1405 NGPG IT","172.20.70.116"
"1405-EPIC-TEST","8/15/16 APCOON","HP Universal Printing PCL 6","Epic Test Lab","172.20.70.106"
"101NGGHP004","HP M401n","HP Universal Printing PCL 6","Suite 700 - Wanda Hester","172.23.106.106"
"NGPG-RP-SPEC-B","Dr. Campbell's office printer - 5/13/14  AS","HP Universal Printing PCL 6","NGPG River Place Specialty Side - Second Floor","172.26.20.152"
"101NGGHP006","HP M401dn","HP Universal Printing PCL 6","Suite 700","172.23.106.108"
"101NGGHP005","HP M401dn","HP Universal Printing PCL 6","Suite 700","172.23.106.107"
"101NGGHP003","","HP Universal Printing PCL 6","Suite 700 - Stephen Pirkle","172.23.106.105"
"101NGGHP001","HP M401n","HP Universal Printing PCL 6","Suite 700 - Lynda Adams Office","172.23.106.102"
"101NGGDL001","Dell2130cn","Lexmark Universal v2","Suite 700 Darrell's Printer","172.23.106.110"
"NGPG-SPEC-RP-A","Created by Dave (3/13/13)","HP LaserJet 400 M401 PCL 6","NGPG Specials Riverplace Frontdesk","172.26.20.150"
"101NGGHP002","","HP LaserJet 400 M401 PCL6 Class Driver","Suite 700 - Bobbi Walston office 755.004","172.23.106.104"
"MCSGC-HR-KIOSK","CREATED BY BOBBY WOODY 12-21-12","HP Universal Printing PCL 6","SGC HR EMPLOYEE KIOSK ROOM","172.25.12.150"
"101OPAHP504","SURGEONS LOUNGE/BCA","HP Universal Printing PCL 6","NPT-N2G","172.23.122.154"
"101OPAHP025","","HP Color LaserJet 2605 PCL6 Class Driver","NPT-N2G \ OR DATA ENTRY","172.23.120.154"
"101OPAXR501","OR DATA ENTRY","Xerox GPD PCL6 V3.9.520.6.0","NPT N2G OR","172.23.120.152"
"101OPAXR500","","Xerox AltaLink C8055 PCL6","NPT N2G OR","172.23.122.153"
"101NUCXR500","","Xerox GPD PCL6 V3.9.520.6.0","NPT-N1G NUC MED","172.23.112.146"
"101NGGXR001","","Xerox AltaLink C8055 PCL6","","172.23.106.101"
"101NGGHP007","","HP Universal Printing PCL 6","Suite 700 desk 755.87","172.23.106.109"
"101NGGXR003","SUITE 700 also know as MCNGG-CRP-A","Xerox WorkCentre 7855 PCL6","NG755.071 CORP XEROX PRINTER","172.23.106.91"
"101NGGXR002","","Xerox WorkCentre 7855 PCL6","Suite 700 - Xerox 7855","172.23.106.103"
"101C2BXR501","","Xerox GPD PCL6 V3.9.520.6.0","C2B MANAGER OFFICE","172.25.38.152_1"
"102S3EHP003","CCLANGMA - 9/20/2018","HP ColorLaserJet MFP M278-M281 PCL 6 (V3)","S3E Unit Manager Office","172.25.50.111"
"101GMEHP500","SUITE 710","HP Universal Printing PCL 6","NPT-NGG","172.23.107.189"
"101C3BXR501","","Xerox GPD PCL6 V3.9.520.6.0","C3B Nurses Station","172.25.48.150_1"
"101C2BXR500","","Xerox GPD PCL6 V3.9.520.6.0","C2B Nurses Station","172.25.38.150_1"
"101C2AHP003","CCLANGMA - 9/4/2018","HP Color LaserJet Pro M252 PCL 6","C2B Teri Wells's Office","172.25.38.232"
"101ACNXR500","","Xerox AltaLink C8055 PCL6","NGG/Suite 730","172.23.102.56"
"102S3EHP002","Downtime printer","HP Universal Printing PCL 6","S3E","172.25.50.110"
"101C2AXR502","","Xerox GPD PCL6 V3.9.520.6.0","C2A Nurses Station","172.25.38.151_1"
"242THCHP001","Front Desk - BCA Downtime Printer - APC 8/28/17","HP Universal Printing PCL 6","THC Dahlonega","172.17.4.100"
"101N6GXR501","","Xerox GPD PCL6 V3.9.520.6.0","N6G CASE MANAGERS CASE","172.23.160.152_1"
"207UROHP003","HP","HP Universal Printing PCL 6","MP1 200 URO","172.19.72.142"
"101NCTHP990","Tracy's Office in NPT-CT","HP Universal Printing PCL 6","BCA PRINTER","172.23.112.205"
"101NACXR500","NPT-F1","Xerox GPD PCL6 V3.9.520.6.0","ACUTE CARE REHAB","172.23.112.153"
"101N6GXR500","","Xerox GPD PCL6 V3.9.520.6.0","N6G FRONT NURSES STATION","172.23.160.151_1"
"NGPG-AUBURN-D","172.19.31.153, HPLJ 400 M401","HP Universal Printing PCL 6","NGPG Auburn","172.19.31.153"
"101ICUHP500","This is a DELL 2330dn printer","HP Universal Printing PCL 6","N3G - ICU - Doc On Call Office","172.23.130.161"
"101IRRXR501","Xerox 3635 Tech Office","Xerox GPD PCL6 V3.9.520.6.0","NPT-N1 IR Offices","172.23.114.86"
"101IRRHP500","NPT-N1G ","HP Universal Printing PCL 6","RAD REG BCA Printer","172.23.114.85"
"MCS1E-ED-A-P92A","","Xerox GPD PCL6 V3.9.520.6.0","","172.25.22.152"
"102HIMXR500","CCLANGMA - 7/23/2018","Xerox WorkCentre 7855 PCL6","SPT Ground Medical Records","172.25.1.191"
