"Name","Comment","DriverName","Location","PortName","Subnet","SubLocation"
"MCOP4-CRD-DROFFICE","Created by Andy B.","HP Universal Printing PCL 5","Cardiology - Dr Marshall Office","172.20.28.142","172.20.28.0","OPT 4th Floor"
"SHER-REGAIN-XEROX","Xerox 4x50 moved from Oakwood rehab.","Xerox GPD PCL6 V3.9.520.6.0","Sherwood Regain Gym","172.19.2.151","172.19.2.0","Sherwood Plaza Location - Data"
"MCOP3-VAS-A-P728","","Xerox GPD PCL6 V3.9.520.6.0","Outpatient 3rd Floor","172.20.26.179","172.20.26.0","OPT 3rd Floor"
"MCOP3-CRD-STRESSSUP","Created by Andy B.","HP Universal Printing PCL 5","Cardiology Echo Supervisor Office","172.20.26.170","172.20.26.0","OPT 3rd Floor"
"MCOP3-CRD-J","Crreated by Andy B.","HP Universal Printing PCL 5","Cardiology Analyst","172.20.26.178","172.20.26.0","OPT 3rd Floor"
"MCOP3-CRD-I","","Xerox GPD PCL6 V3.9.520.6.0","Special Procedures","172.20.26.174","172.20.26.0","OPT 3rd Floor"
"MCOP3-CRD-HFOFFICE","Created by Andy B.","Xerox GPD PCL6 V3.9.520.6.0","Cardiology Heart Failure Office","172.20.26.176","172.20.26.0","OPT 3rd Floor"
"MCOP3-CRD-H","","HP Universal Printing PCL 5","Nuclear Stress Lab","172.20.26.173","172.20.26.0","OPT 3rd Floor"
"MCOP3-CRD-G","Created by Andy B.","Xerox GPD PCL6 V3.9.520.6.0","OP-3 Christy Camp's Office","172.20.26.150","172.20.26.0","OPT 3rd Floor"
"MCOP3-CRD-D-P88E","Created by Andy B.","Xerox GPD PCL6 V3.9.520.6.0","OP-3 Stress Lab","172.20.26.163","172.20.26.0","OPT 3rd Floor"
"RAD-JACKET-LABEL-P8B6","Old RAD File Room","HP Universal Printing PCL 5","Rad File Room Ground Floor East","172.20.4.182","172.20.4.0","SPT Ground - Caf IDF"
"MCOP3-CRD-COLOR","Created by Andy B.  4/25/2012","Lexmark Universal v2","OP-3 VAS Area","172.20.26.181","172.20.26.0","OPT 3rd Floor"
"MCWB2-THC-NUR-A","CREATED BY BOBBY WOODY 7/8/14","SHARP UD2 PCL6","WISTERIA-2 THC CLINIC SIDE POD 1","172.30.60.161","172.30.60.0","Heart Center - Outpatient - 2nd Floor - Datat"
"MCOP3-CRD-3","Created by Andy B.","Xerox GPD PCL6 V3.9.520.6.0","Stribling Education","172.20.26.168","172.20.26.0","OPT 3rd Floor"
"MCOP2-Trans-XWC-199","","Xerox GPD PCL6 V3.9.520.6.0","","172.20.24.150","172.20.24.0","OPT 2nd Floor"
"NGPG-UC-DAL-A","Created by GRLEWIS - PowerShell","Xerox GPD PCL6 V3.9.520.6.0","","172.17.10.158","172.17.10.0","NGPG-Dahlonega Urgent Care Data"
"MCOP2-SPEC-PROC","","Xerox GPD PCL6 V3.9.520.6.0","","172.30.20.133","172.30.20.0","Outpatient 2nd Floor Data"
"MCOP2-SP-743","","Xerox GPD PCL6 V3.9.520.6.0","","172.20.24.154","172.20.24.0","OPT 2nd Floor"
"MCOP2-PathTran-200","HP LJ 9050 (hp LaserJet 9050)","HP Universal Printing PCL 5","OutPatient Building (OPB), 2nd floor, Path, Transcription Dept","172.20.24.160","172.20.24.0","OPT 2nd Floor"
"MHLW4-NUR-A-P864","Created by Alex on 01/05/2012","Xerox GPD PCL6 V3.9.520.6.0","LW Unit 4","172.25.96.102","172.25.96.0","LaurelWood Data"
"MCOP2-Histo-Copath2","","HP Universal Printing PCL 5","","172.20.24.152","172.20.24.0","OPT 2nd Floor"
"MCOP2-FD-XWC-203","","Xerox GPD PCL6 V3.9.520.6.0","","172.20.24.158","172.20.24.0","OPT 2nd Floor"
"MCOP2-CS-XWC","","Xerox GPD PCL6 V3.9.520.6.0","","172.20.24.215","172.20.24.0","OPT 2nd Floor"
"MCOP2-CS-450","","HP Universal Printing PCL 5","","172.30.21.90","172.30.20.0","Outpatient 2nd Floor Data"
"MCOP2-BBK-XWC-415","","Xerox GPD PCL6 V3.9.520.6.0","","172.20.24.162","172.20.24.0","OPT 2nd Floor"
"MCOP1-SJO-P918","Created By Andy B.","HP Universal Printing PCL 5","OP-1 Sam Jones Nurse Station 2","172.20.22.174","172.20.22.0","OPT 1st Floor"
"MCOP1-SJO-E-P91A","Created by Andy B.","HP Universal Printing PCL 5","OP-1 Sam Jones Office (Exam Room 5)","172.20.22.176","172.20.22.0","OPT 1st Floor"
"MCS1E-CENTSCHED-C","","Dell 2150cn Color Printer PCL6","","172.25.24.102","172.25.24.0","SPT Data NPT-Bridge-IDF"
"MCOP1-SJO-B-P917","Created by Andy B.","HP Universal Printing PCL 5","OP-1 Receptionist Desk","172.20.22.171","172.20.22.0","OPT 1st Floor"
"MCOP1-CRP-W","Created by GRLEWIS - PowerShell","HP Universal Printing PCL 5","","172.30.10.150","172.30.10.0","Outpatient 1st Floor Data"
"NGPG-MP12-OB-I","","HP Universal Printing PCL 5","MP1 200 OB","172.19.72.127","172.19.72.0","OIC 2nd floor Medical Park 1 - OB/GYN - Data"
"MCOP1-CRP-U","Created by GRLEWIS - PowerShell","HP Universal Printing PCL 5","","172.30.11.121","172.30.10.0","Outpatient 1st Floor Data"
"NGPG-MP12-OB-G","","HP Universal Printing PCL 5","MP1 200 OB","172.19.72.125","172.19.72.0","OIC 2nd floor Medical Park 1 - OB/GYN - Data"
"MCWB4-THC-CODE-A","CREATED BY BOBBY WOODY 7/8/14","KX DRIVER for Universal Printing","WISTERIA-4 THC CODING AREA","172.30.60.174","172.30.60.0","Heart Center - Outpatient - 2nd Floor - Datat"
"MCOP1-CRP-T","Created by GRLEWIS - PowerShell","HP Universal Printing PCL 5","","172.20.22.154","172.20.22.0","OPT 1st Floor"
"NGPG-MP12-OB-F","Med Park 1 OBGYN","HP Universal Printing PCL 5","Med Park 1 OBGYN","172.19.72.124","172.19.72.0","OIC 2nd floor Medical Park 1 - OB/GYN - Data"
"MCOP1-CRP-R","Created by GRLEWIS","HP Universal Printing PCL 5","Admin - Office VP Strategic Planning/Marketing","172.20.22.152","172.20.22.0","OPT 1st Floor"
"MCOP1-CRP-Q","Printer created by Jess Kendrick, 4/29/2015","HP Universal Printing PCL 5","OP building 1st Floor Corporate, Admin Assistant for NGPG President","172.20.22.168","172.20.22.0","OPT 1st Floor"
"NGPG-MP12-OB-C","Created by GRLEWIS - PowerShell","HP Universal Printing PCL 5","","172.19.72.121","172.19.72.0","OIC 2nd floor Medical Park 1 - OB/GYN - Data"
"MCOP1-CRP-P","","HP Universal Printing PCL 5","","172.20.22.166","172.20.22.0","OPT 1st Floor"
"MCOP1-CRP-O","created 3/11/14 RB","HP Universal Printing PCL 5","Vicky Curtis' office","172.20.22.178","172.20.22.0","OPT 1st Floor"
"NGPG-MP12-OB-A","","Xerox GPD PCL6 V3.9.520.6.0","MP12 Gainesville OB","172.19.72.119","172.19.72.0","OIC 2nd floor Medical Park 1 - OB/GYN - Data"
"MCOP1-CRP-N","created 3/11/14 RB","HP Universal Printing PCL 5","CRP front desk","172.30.10.168","172.30.10.0","Outpatient 1st Floor Data"
"MCOPG-DOS-COLOR","CREATED BY BOBBY WOODY 7-11-12","HP Universal Printing PCL 5","OP1 DOSIMETRY AREA COLOR PRINTER","172.20.20.181","172.20.20.0","OPT Ground Floor"
"MCOP1-CRP-M","Created by FMP 3/6/13","HP Universal Printing PCL 5","OP1 Corp","172.20.22.160","172.20.22.0","OPT 1st Floor"
"MCOP1-CRP-L","Created by Andy B. 4/24/2012 (HP LaserJet 2100 Series)","HP Universal Printing PCL 5","Corporate","172.20.22.187","172.20.22.0","OPT 1st Floor"
"MCOP1-CRP-K","Created by GRLEWIS - PowerShell","HP Universal Printing PCL 5","","172.20.22.74","172.20.22.0","OPT 1st Floor"
"MCOP1-CRP-J","Created by Andy B.  4/24/2012 (HP LaserJet 2200)","HP Universal Printing PCL 5","Corporate","172.20.22.165","172.20.22.0","OPT 1st Floor"
"MCOP1-CRP-I","Created by Andy B.  4/24/2012","HP Universal Printing PCL 5","Corporate","172.20.22.156","172.20.22.0","OPT 1st Floor"
"MCOP1-CRP-H","Createdby Andy B.  4/24/2012 (HP LaserJet 2100 Series)","HP Universal Printing PCL 5","Corporate","172.20.22.167","172.20.22.0","OPT 1st Floor"
"MCOP1-CRP-G","Ceated by Andy B. 4/24/2012","HP Universal Printing PCL 5","Corporate","172.20.22.158","172.20.22.0","OPT 1st Floor"
"MCOP1-CRP-D-P818","Created by Andy B.  4/24/20112","HP Universal Printing PCL 5","Corporate","172.20.22.157","172.20.22.0","OPT 1st Floor"
"MCOP1-CRP-C","","Xerox AltaLink C8055 PCL6","","172.20.22.150","172.20.22.0","OPT 1st Floor"
"MCOP1-CRP-A","Created by Andy B. - 6/6/2012","Xerox AltaLink C8055 PCL6","Corporate Work Room 1","172.20.22.151","172.20.22.0","OPT 1st Floor"
"MCOC1-EDS-B","CREATED BY BOBBY WOODY 4-9-12","HP Universal Printing PCL 5","OCIE POPE 1ST FLOOR FRONT DESK ED SERVICES","172.25.107.100","172.25.107.0","NGPG-TRAUMA-Sherwood-Data"
"MCNGG-SPD-F-P982","CREATED BY BOBBY WOODY 4-23-12","HP Universal Printing PCL 5","NGG SPD AREA","172.23.102.156","172.23.102.0","NPT-G2 Data Network"
"MCOP2-CS-205","HP LJ 9040 (hp LaserJet 9040)","HP Universal Printing PCL 5","OutPatient Building (OPB), 2nd floor, Lab, Customer Service Dept","172.20.24.157","172.20.24.0","OPT 2nd Floor"
"MCNGG-SPD-D-P980","CREATED BY BOBBY WOODY 4-23-12","HP Universal Printing PCL 5","NGG SPD AREA","172.23.102.154","172.23.102.0","NPT-G2 Data Network"
"MCNGG-SPD-C-P97F","CREATED BY BOBBY WOODY 4-23-12","HP Universal Printing PCL 5","NGG SPD AREA","172.23.102.153","172.23.102.0","NPT-G2 Data Network"
"MCNGG-SPD-A-P97D","CREATED BY BOBBY WOODY 4-23-12","Xerox GPD PCL6 V3.9.520.6.0","NGG SPD AREA","172.23.100.151","172.23.100.0","NPT-G1 Data Network"
"MCNGG-CRP-A","Created by GRLEWIS - PowerShell","Xerox GPD PCL6 V3.9.520.6.0","","172.23.106.91","172.23.106.0","NPT-G3 Data Network"
"MCN6G-PHARM","Created by GRLEWIS - PowerShell","Xerox GPD PCL6 V3.9.520.6.0","","172.23.160.10","172.23.160.0","NPT6-1 DATA"
"MCN6G-BAR-C-P97B","CREATED 2-22-12 BY BOBBY WOODY","Xerox GPD PCL6 V3.9.520.6.0","N6G CASE MANAGEMENT OFFICE","172.23.160.153","172.23.160.0","NPT6-1 DATA"
"MCN5G-ACU-E-P978","Created by Patrick - Desktop Support","Xerox AltaLink C8055 PCL6","N5G - Admin. Offices","172.23.150.155","172.23.150.0","NPT5-1 DATA"
"MCN5G-ACU-D-P977","Updated by Patrick - 3/2/2012","HP Universal Printing PCL 5","N5G - Dr.'s Dictation Work Room","172.23.150.154","172.23.150.0","NPT5-1 DATA"
"MCN5G-ACU-B-P975","A Xerox 4150 - Prints, emails, faxes, and copies.","Xerox GPD PCL6 V3.9.520.6.0","N5G - Case Mgmt. Office","172.23.150.152","172.23.150.0","NPT5-1 DATA"
"NGPG-MP12-URO-Ex-O","","HP Universal Printing PCL 5","MP12","172.19.72.154","172.19.72.0","OIC 2nd floor Medical Park 1 - OB/GYN - Data"
"MCN5G-ACU-A-P974","Created by Dave","Xerox GPD PCL6 V3.9.520.6.0","North Tower 5th floor ACU A area","172.23.150.151","172.23.150.0","NPT5-1 DATA"
"MCN4G-ONS-D-P972","Created By Dave","HP Universal Printing PCL 5","N4G - Dr.'s Dictation Work Area","172.23.140.154","172.23.140.0","NPT4-1 DATA"
"MCN4G-ONS-A-P96F","A HP LJ 2300 printer with a JetDirect,  prints only.  This printer is located outside of Rooms 4717 & 18.","HP Universal Printing PCL 5","N4G - Nurse/Tech Work Room","172.23.140.151","172.23.140.0","NPT4-1 DATA"
"MCN3G-ICU-H-P96D","Used for labels only in the ICU Pharmacy area.","ZDesigner ZM400 200 dpi (ZPL)","N3G - ICU Satellite Pharmacy","172.23.130.158","172.23.130.0","NPT3-1 DATA"
"MCN3G-ICU-G-P96C","A Xerox WorkCentre 4150 - Prints, faxes, copies and emails.","Xerox GPD PCL6 V3.9.520.6.0","N3G - ICU Satellite Pharmacy","172.23.130.157","172.23.130.0","NPT3-1 DATA"
"MCN3G-ICU-F-P96B","A Xerox 4150 WorkCentre - prints, faxes, copies and emails.","Xerox GPD PCL6 V3.9.520.6.0","N3G-ICU POD D","172.23.130.156","172.23.130.0","NPT3-1 DATA"
"NGPG-CLEV-F","NGPG CLEVELAND","Xerox GPD PCL6 V3.9.520.6.0","NGPG CLEVELAND","172.19.34.174","172.19.34.0","Cleveland NGPG Data"
"MCN3G-ICU-E-P96A","A Xerox 4150 WorkCentre that prints, faxes, emails and copies.","Xerox GPD PCL6 V3.9.520.6.0","N3G - ICU  CASE MGMT. OFFICE","172.23.130.155","172.23.130.0","NPT3-1 DATA"
"MCN3G-ICU-D-P969","A Xerox 4150 WorkCentre - prints, faxes, copies, and emails.","Xerox GPD PCL6 V3.9.520.6.0","N3G - ICU Administration Offices","172.23.130.154","172.23.130.0","NPT3-1 DATA"
"MCN3G-ICU-C-P968","A Xerox 4150 WorkCentre - Print, Fax, Copy and emails.","Xerox GPD PCL6 V3.9.520.6.0","N3G - ICU - POD A","172.23.130.153","172.23.130.0","NPT3-1 DATA"
"MCN3G-ICU-B-P967","This is a Xerox 4150 WorkCentre - prints, faxes, emails, and copies.","Xerox GPD PCL6 V3.9.520.6.0","N3G-ICU POD C","172.23.130.152","172.23.130.0","NPT3-1 DATA"
"MCN3G-ICU-A-P966","This is a Xerox WorkCentre 4150 - Printer, Fax, Copier, and emails.","Xerox GPD PCL6 V3.9.520.6.0","N3G-ICU-POD B","172.23.130.151","172.23.130.0","NPT3-1 DATA"
"MCN2G-SUR-L","Created by BAC 3-8-12","Xerox GPD PCL6 V3.9.520.6.0","OR Pharmacy","172.23.122.159","172.23.122.0","NPT2-2 DATA"
"MCN2G-SUR-J-P984","","HP Universal Printing PCL 5","N2G Anesth fishbowl","172.23.122.155","172.23.122.0","NPT2-2 DATA"
"NGPG-BCMB3-URO-A","Added by GRLEWIS _ PS","HP Universal Printing PCL 5","","172.26.43.224","172.26.42.0","MOB - M3010"
"MCN2G-SUR-E-P95C","bac","Xerox AltaLink C8055 PCL6","NPT2 Sugery","172.23.122.153","172.23.122.0","NPT2-2 DATA"
"MCS1D-NURSELINE-P7E3","HP LJ 2300 on JD (hp LaserJet 2300 series)","HP Universal Printing PCL 5","S1D Fast Track area Nurse Line office","172.25.20.197","172.25.20.0","SPT Data ED-RedHall-IDF"
"MCN2G-SUR-D-P95B","bac","Xerox GPD PCL6 V3.9.520.6.0","NPT2 Sugery","172.23.122.152","172.23.122.0","NPT2-2 DATA"
"MCN2G-SUR-C-P95A","bac","Xerox GPD PCL6 V3.9.520.6.0","NPT2 Sugery","172.23.122.151","172.23.122.0","NPT2-2 DATA"
"MCN2G-SUR-B-P959","bac","Xerox GPD PCL6 V3.9.520.6.0","NPT2 Sugery","172.23.120.152","172.23.120.0","NPT2-1 DATA"
"MCN2G-SSS-F-P95F","Created by Alex on 02/10/2012","Xerox GPD PCL6 V3.9.520.6.0","N2G Periop Bay A/C","172.23.122.158","172.23.122.0","NPT2-2 DATA"
"MCN2G-SSS-C-P963","Created by Alex on 02/10/2012","Xerox GPD PCL6 V3.9.520.6.0","N2G Periop Bay D/F","172.23.126.155","172.23.126.0","NPT2-4 DATA"
"MCN2G-SSS-B-P962","BAC 3-8-12","Xerox GPD PCL6 V3.9.520.6.0","N2G Periop","172.23.126.154","172.23.126.0","NPT2-4 DATA"
"NGPG-DAW-TENANT-B","NGPG Dawsonville 400 Timeshare","HP Universal Printing PCL 5","NGPG Dawsonville 400 Timeshare","172.17.72.173","172.17.72.0","Dawsonville Data Network"
"MCS1D-EAD-A-P82F","","Xerox GPD PCL6 V3.9.520.6.0","ED PCC OFFICE AREA","172.25.20.152","172.25.20.0","SPT Data ED-RedHall-IDF"
"MCN2G-SSS-A-P961","BAC 3-8-12","Xerox GPD PCL6 V3.9.520.6.0","N2G Periop","172.23.126.153","172.23.126.0","NPT2-4 DATA"
"MCN2G-PAC-C-P985","bac (HP LaserJet 4000 Series)","Xerox GPD PCL6 V3.9.520.6.0","PACU","172.23.126.158","172.23.126.0","NPT2-4 DATA"
"MCOP3-EKG-A-P89F","Created by Andy B.","Xerox GPD PCL6 V3.9.520.6.0","Cardiology - EKG Area","172.20.26.164","172.20.26.0","OPT 3rd Floor"
"MCN2G-PAC-B-P960","Created by Alex on 02/20/2012","Xerox GPD PCL6 V3.9.520.6.0","PACU","172.23.126.152","172.23.126.0","NPT2-4 DATA"
"MCN2G-EVOR-A","bac (HP LaserJet 4050 Series )","HP Universal Printing PCL 5","NPT1 EVOR","172.23.120.153","172.23.120.0","NPT2-1 DATA"
"MCN1G-VOL-STOCKROOM","PRINTER CREATED BY RYAN PERPALL 3/18/15","HP Universal Printing PCL 5","MCN1G Volunteer services","172.23.110.12","172.23.110.0","NPT1-1 DATA"
"MCN1G-VOL-B","bac","Xerox AltaLink C8055 PCL6","NPT1","172.23.110.2","172.23.110.0","NPT1-1 DATA"
"MCOP2-Trans-Color","","HP Universal Printing PCL 5","","172.20.24.153","172.20.24.0","OPT 2nd Floor"
"MCN1G-VOL-A","BAC","HP Universal Printing PCL 5","NPT1","172.23.110.1","172.23.110.0","NPT1-1 DATA"
"MCN1G-TEL-A-P701","bac","Xerox GPD PCL6 V3.9.520.6.0","NPT1 Telemitry","172.23.110.150","172.23.110.0","NPT1-1 DATA"
"MCN1G-REG-F-P93E","Created by GRLEWIS - PowerShell","HP Universal Printing PCL 5","","172.23.110.10","172.23.110.0","NPT1-1 DATA"
"MCN1G-REG-B-P93A","bac","Xerox GPD PCL6 V3.9.520.6.0","NPT1 Registration","172.23.110.153","172.23.110.0","NPT1-1 DATA"
"MCN1G-REC-B-P956","bac","Xerox GPD PCL6 V3.9.520.6.0","NPT1 Reception","172.23.110.148","172.23.110.0","NPT1-1 DATA"
"MCWB3-NGP-A","CREATED BY BOBBY WOODY 4-23-12","Xerox GPD PCL6 V3.9.520.6.0","WISTERIA BLDG SUITE 380","172.30.70.150","172.30.70.0","MOB Suite 360 23 bit networks"
"MCN1G-REC-A-P955","bac","HP Universal Printing PCL 5","NPT1 Reception","172.23.110.146","172.23.110.0","NPT1-1 DATA"
"NGPG-JJM13-NSG-E","mwdetraz  5/4/2012","Lexmark Universal v2","MP1 3rd Floor Neurosurgery","172.19.52.154","172.19.52.0","OIC 3rd Floor Data"
"MCN1G-RAD-R-P942","bac","HP Universal Printing PCL 5","Radiology","172.23.112.159","172.23.112.0","NPT1-2 DATA"
"MCSGF-PSS-A","","HP Universal Printing PCL 5","","172.25.4.166","172.25.4.0","SPT Data WANS-IDF"
"MCN1G-RAD-N-P94C","BAC","HP Universal Printing PCL 5","MRI NPT1","172.23.112.157","172.23.112.0","NPT1-2 DATA"
"OAKCP-QD1-F","CREATED BY BOBBY WOODY 12/22/14","Xerox GPD PCL6 V3.9.520.6.0","OAKWOOD CORP PLAZA","172.24.214.155","172.24.214.0","Oakwood Admin - IDF C Data"
"MCN1G-RAD-M-P94B","bac","Xerox GPD PCL6 V3.9.520.6.0","Radiology","172.23.112.156","172.23.112.0","NPT1-2 DATA"
"NGPG-Clev-EX9","Exam Room Printer (Plain Paper)","HP Universal Printing PCL 5","","172.19.34.189","172.19.34.0","Cleveland NGPG Data"
"MCN1G-RAD-H-P949","bac","Xerox GPD PCL6 V3.9.520.6.0","Radiology","172.23.112.154","172.23.112.0","NPT1-2 DATA"
"MCN1G-RAD-F-P947","bac","Xerox GPD PCL6 V3.9.520.6.0","Radiology","172.23.112.152","172.23.112.0","NPT1-2 DATA"
"MCN1G-RAD-C-P94F","bac","Xerox GPD PCL6 V3.9.520.6.0","Radiology","172.23.114.152","172.23.114.0","NPT1-3 DATA"
"NGPG-BCMB3-OB-O","Added by GRLEWIS _ PS","HP Universal Printing PCL 5","","172.26.43.107","172.26.42.0","MOB - M3010"
"MCSGD-HPH-A","bac","Xerox GPD PCL6 V3.9.520.6.0","Helping Hands","172.25.8.151","172.25.8.0","SPT Data Cafe-IDF"
"MCN1G-PULMA-A","Created by GRLEWIS - PowerShell","HP LaserJet 200 color M251 PCL 6","","172.23.113.151","172.23.112.0","NPT1-2 DATA"
"MCN1G-PST-E","","Xerox GPD PCL6 V3.9.520.6.0","","172.23.111.209","172.23.110.0","NPT1-1 DATA"
"MCN1G-PST-C-P93F","bac","Xerox GPD PCL6 V3.9.520.6.0","PST","172.23.110.158","172.23.110.0","NPT1-1 DATA"
"MCN1G-PST-A-P93D","bac","Xerox GPD PCL6 V3.9.520.6.0","PST","172.23.110.156","172.23.110.0","NPT1-1 DATA"
"MCN1G-NUC-C","~JASCOGGI","Xerox GPD PCL6 V3.9.520.6.0","NUCLEAR MED","172.23.112.146","172.23.112.0","NPT1-2 DATA"
"NGPG-MP12-OB-Ex-S","","HP Universal Printing PCL 5","MP12","172.19.72.118","172.19.72.0","OIC 2nd floor Medical Park 1 - OB/GYN - Data"
"MCN1G-NUC-B","created 3/27/14 RCB","Xerox GPD PCL6 V3.9.520.6.0","","MCN1G-NUC-B","Unknown PortName","Unknown"
"NGPG-MP12-OB-Ex-R","","HP Universal Printing PCL 5","MP12 OB Exam Room","172.19.72.117","172.19.72.0","OIC 2nd floor Medical Park 1 - OB/GYN - Data"
"MCN1G-NUC-A-P938","bac","HP Universal Printing PCL 5","NUC Med","172.23.112.160","172.23.112.0","NPT1-2 DATA"
"MCN1G-END-D-P954","bac (HP Color LaserJet 2605dn)","HP Universal Printing PCL 5","","172.23.126.150","172.23.126.0","NPT2-4 DATA"
"MCN1G-END-B-P952","Created by Alex on 12/15/2011","Xerox GPD PCL6 V3.9.520.6.0","N1G Endoscopy","172.23.114.156","172.23.114.0","NPT1-3 DATA"
"MCN1G-END-A-P951","Created by Alex on 12/15/2011","Xerox GPD PCL6 V3.9.520.6.0","N1G Endoscopy","172.23.114.155","172.23.114.0","NPT1-3 DATA"
"MCN1G-BRT-SPT","Created by GRLEWIS - PowerShell","Xerox GPD PCL6 V3.9.520.6.0","","172.23.111.110","172.23.110.0","NPT1-1 DATA"
"MCN1G-ACREHAB","Created by GRLEWIS - PowerShell","Xerox GPD PCL6 V3.9.520.6.0","","172.23.112.153","172.23.112.0","NPT1-2 DATA"
"NGPG-HCHD-FRT-DESK1","","HP Universal Printing PCL 5","","172.19.21.152","172.19.21.0","Hall Co Health Dept"
"MCMB3-CRP-B","CREATED BY BOBBY WOODY 4-11-12","Xerox GPD PCL6 V3.9.520.6.0","WISTERIA BLDG. SUITE 300","172.20.18.156","172.20.18.0","L-Wood"
"MCMB3-CRP-A","CREATED BY BOBBY WOODY 4-11-12","Xerox GPD PCL6 V3.9.520.6.0","WISTERIA BLDG. SUITE 150","172.25.106.101","172.25.106.0","NGPG-Trauma Data"
"MCWB2-THC-REG-A","CREATED BY BOBBY WOODY 7/10/14","SHARP UD2 PCL6","WISTERIA-2 TESTING REGISTRATION AREA","172.30.60.168","172.30.60.0","Heart Center - Outpatient - 2nd Floor - Datat"
"MCC3B-NUR-A-P8C7","Created by Andy B.  7/10/2012","Xerox GPD PCL6 V3.9.520.6.0","Ronnie Green Nurse Station","172.25.48.150","172.25.48.0","SPT Data C3A/C3B-IDF"
"MCC3B-ADM-A","CREATED BY BOBBY WOODY 5/27/14","Xerox GPD PCL6 V3.9.520.6.0","C3B ADMIN AREA RONNIE GREEN","172.25.48.152","172.25.48.0","SPT Data C3A/C3B-IDF"
"MCC2B-NUR-B-P811","Created by Dave 6/5/2012","Xerox GPD PCL6 V3.9.520.6.0","C2B","172.25.38.150","172.25.38.0","SPT Data C2A/C2B-IDF"
"MCN1G-REC-C-P957","BAC","Xerox GPD PCL6 V3.9.520.6.0","NPT1 Rad Scheduling","172.23.110.165","172.23.110.0","NPT1-1 DATA"
"MCC2B-MGR-A","CREATED BY BOBBY WOODY 3/28/14","Xerox GPD PCL6 V3.9.520.6.0","C2B MANAGER OFFICE","172.25.38.152","172.25.38.0","SPT Data C2A/C2B-IDF"
"MCC2A-NUR-A-P729","Created by Dave 6/5/2012","Xerox GPD PCL6 V3.9.520.6.0","C2A","172.25.38.151","172.25.38.0","SPT Data C2A/C2B-IDF"
"MCC2-CMG-A","Created by Dave","HP Universal Printing PCL 5","C2 Case Management","172.20.8.160","172.20.8.0","172-20-8-0_Subnet"
"MC0PG-RADONC-MGR","printer built by Ryan Perpall 9/10/15","HP Universal Printing PCL 5","Jon Marcklinger office","172.20.20.68","172.20.20.0","OPT Ground Floor"
"MCS1D-ED-MGR-P7C9","HP LJ 3005 (HP LaserJet P3005)","HP Universal Printing PCL 5","S1D ED Kay's Office","172.25.20.130","172.25.20.0","SPT Data ED-RedHall-IDF"
"MB_LOADING_DOCK2","Created by GRLEWIS - PowerShell","HP Universal Printing PCL 5","","172.25.10.18","172.25.10.0","SPT Data Shipping and Receiving"
"MB_LOADING_DOCK","CREATED BY BOBBY WOODY 4-11-12","HP Universal Printing PCL 5","SGE RECEIVING DOCK","172.25.10.160","172.25.10.0","SPT Data Shipping and Receiving"
"MATERIALS-DESK","Loading Dock","HP Universal Printing PCL 5","Materials Loading Dock","172.25.4.158","172.25.4.0","SPT Data WANS-IDF"
"MCS5E-DICT","Dr. Dictation S5E","HP Universal Printing PCL 5","","172.25.82.151","172.25.82.0","SPT Data S5E-IDF"
"LW-RN-SCHED","Created by GRLEWIS - PowerShell","HP Universal Printing PCL 5","","172.25.96.159","172.25.96.0","LaurelWood Data"
"LW-PSY-HP","SDE 344352","HP Universal Printing PCL 5","Laurel Wood Psychiatry","172.25.96.110","172.25.96.0","LaurelWood Data"
"LP_ADM_P73B","CREATED BY BOBBY WOODY 4-12-12","Xerox GPD PCL6 V3.9.520.6.0","LPC ADMIN AREA ATRIUM","172.22.2.48","172.22.2.0","LP_SUBNET"
"MHLW3-NUR-A-P863","Created by Alex on 01/05/2012","Xerox GPD PCL6 V3.9.520.6.0","LW Unit 3","172.25.96.35","172.25.96.0","LaurelWood Data"
"LPLMG-FND-D","Created by GRLEWIS - PowerShell","Dell 2330dn Laser Printer","","172.19.132.170","172.19.132.0","Hospice - Data"
"NGPG-VA-DR-2","mwdetraz  5/4/2012","HP Universal Printing PCL 5","NGPG Vascular Associates","172.25.102.152","172.25.102.0","NGPG Vascular Associates Data"
"NGPG-MP12-URO-Ex-D","","HP Universal Printing PCL 5","MP1 200 URO","172.19.72.143","172.19.72.0","OIC 2nd floor Medical Park 1 - OB/GYN - Data"
"LPLMG-FND-C","Created by GRLEWIS - PowerShell","HP Universal Printing PCL 5","","172.19.132.169","172.19.132.0","Hospice - Data"
"NGPG-VA-DR-1","mwdetraz  5/4/2012","Lexmark Universal v2","NGPG Vascular Associates","172.25.102.160","172.25.102.0","NGPG Vascular Associates Data"
"NGPG-MP12-URO-Ex-C","","HP Universal Printing PCL 5","MP12","172.19.72.142","172.19.72.0","OIC 2nd floor Medical Park 1 - OB/GYN - Data"
"LPLMG-FND-B","Created by GRLEWIS - PowerShell","HP Universal Printing PCL 5","","172.19.132.168","172.19.132.0","Hospice - Data"
"NGPG-MP12-URO-Ex-B","","HP Universal Printing PCL 5","MP12","172.19.72.141","172.19.72.0","OIC 2nd floor Medical Park 1 - OB/GYN - Data"
"LPLMG-FND-A","","HP Universal Printing PCL 5","","172.19.132.94","172.19.132.0","Hospice - Data"
